GP022552158
TEST NBR 00123
LMG6 GPS
EDWARDS AFB, CA
2132Z  12 SEP 17

  ALT  DIR   SPD  SHR  TEMP  DPT   PRESS   RH ABHUM DENSITY I/R V/S  VPS  PW
GEOMFT DEG   KTS /SEC DEG C DEG C   MBS   PCT  G/M3   G/M3   N  KTS  MBS  MM

  2372 234   6.0 .000  34.7  11.2  928.40  24  9.34 1044.90 286 686 13.28  0
  2400 252   4.1 .151  34.0  10.8  927.61  24  9.17 1046.65 286 685 13.00  0
  2500 252   5.2 .018  32.2  10.7  924.43  27  9.11 1049.11 286 683 12.84  0
  2600 252   4.5 .012  31.7  10.4  921.30  27  8.97 1047.36 285 682 12.63  1
  2700 227   2.8 .038  31.5  10.2  918.22  27  8.88 1044.57 284 682 12.48  1
  2800 233   2.7 .006  31.2  10.5  915.05  28  9.06 1041.87 285 682 12.73  1
  2900 215   3.9 .027  30.9  10.3  911.98  28  8.90 1039.58 283 681 12.49  1
  3000 212   5.2 .022  30.6  10.0  908.84  28  8.77 1036.99 282 681 12.30  2
  3100 228   5.4 .025  30.3   9.8  905.82  28  8.63 1034.64 281 681 12.09  2
  3200 245   5.7 .029  30.0   9.5  902.65  28  8.49 1032.11 279 680 11.88  2
  3300 250   7.8 .035  29.7   9.8  899.59  29  8.66 1029.53 280 680 12.10  3
  3400 254   9.1 .024  29.5   9.6  896.57  29  8.56 1026.82 279 680 11.95  3
  3500 255   9.8 .013  29.1   9.3  893.45  29  8.38 1024.64 277 679 11.69  3
  3600 244   9.8 .032  28.9   9.1  890.44  29  8.28 1021.97 276 679 11.55  3
  3700 247   8.1 .031  28.5   9.2  887.40  30  8.39 1019.73 276 679 11.68  4
  3800 267   7.5 .048  28.3   9.1  884.36  30  8.30 1016.95 275 678 11.54  4
  3900 265   9.4 .032  27.9   9.1  881.29  31  8.32 1014.63 275 678 11.56  4
  4000 260  10.2 .021  27.7   8.6  878.31  30  8.03 1012.13 272 678 11.15  4
  4100 251   9.0 .033  27.4   8.8  875.27  31  8.16 1009.59 273 677 11.31  5
  4200 242   9.2 .024  27.1   8.5  872.24  31  8.03 1007.13 271 677 11.12  5
